rank,team,power_score
1,Shiba Eternity,100.0
2,Beauty and the Bill,96.0
3,Belichicken and Waffles,89.0
4,Dad Bod,88.0
5,Deflategate Truther,84.0
6,Jihaadist Regime,79.0
7,He was a Skatterboi,77.0
8,Rhamondres Padres,77.0
9,Pack Attack,72.0
10,Brock's Pewter City Gym,72.0
11,Foosball is the devil,69.0
12,Woody Marksist,60.0
