rank,team,power_score
1,Shiba Eternity,100.0
2,Dad Bod,90.0
3,Beauty and the Bill,86.0
4,Belichicken and Waffles,85.0
5,Brock's Pewter City Gym,84.0
6,He was a Skatterboi,78.0
7,Deflategate Truther,75.0
8,Jihaadist Regime,75.0
9,Rhamondres Padres,74.0
10,Pack Attack,69.0
11,Foosball is the devil,64.0
12,Woody Marksist,62.0
